4.329229999999999563e+03,4.009230000000000018e+03,4.289229999999999563e+03,4.148210000000000036e+03,4.350260000000000218e+03,4.586149999999999636e+03,4.096920000000000073e+03,4.641029999999999745e+03,4.222050000000000182e+03,4.238460000000000036e+03,4.211279999999999745e+03,4.280510000000000218e+03,4.635899999999999636e+03,4.393850000000000364e+03,0.000000000000000000e+00
4.324619999999999891e+03,4.004619999999999891e+03,4.293850000000000364e+03,4.148720000000000255e+03,4.342050000000000182e+03,4.586670000000000073e+03,4.097439999999999600e+03,4.638970000000000255e+03,4.210770000000000437e+03,4.226670000000000073e+03,4.207689999999999600e+03,4.279489999999999782e+03,4.632819999999999709e+03,4.384100000000000364e+03,0.000000000000000000e+00
4.327689999999999600e+03,4.006670000000000073e+03,4.295380000000000109e+03,4.156409999999999854e+03,4.336920000000000073e+03,4.583590000000000146e+03,4.096920000000000073e+03,4.630260000000000218e+03,4.207689999999999600e+03,4.222050000000000182e+03,4.206670000000000073e+03,4.282050000000000182e+03,4.628720000000000255e+03,4.389229999999999563e+03,0.000000000000000000e+00
4.328720000000000255e+03,4.011789999999999964e+03,4.296409999999999854e+03,4.155899999999999636e+03,4.343590000000000146e+03,4.582560000000000400e+03,4.097439999999999600e+03,4.630770000000000437e+03,4.217439999999999600e+03,4.235380000000000109e+03,4.210770000000000437e+03,4.287689999999999600e+03,4.632310000000000400e+03,4.396409999999999854e+03,0.000000000000000000e+00
4.326149999999999636e+03,4.011789999999999964e+03,4.292310000000000400e+03,4.151279999999999745e+03,4.347689999999999600e+03,4.586670000000000073e+03,4.095900000000000091e+03,4.627689999999999600e+03,4.210770000000000437e+03,4.244100000000000364e+03,4.212819999999999709e+03,4.288210000000000036e+03,4.632819999999999709e+03,4.398460000000000036e+03,0.000000000000000000e+00
4.321029999999999745e+03,4.004619999999999891e+03,4.284100000000000364e+03,4.153329999999999927e+03,4.345640000000000327e+03,4.587180000000000291e+03,4.093329999999999927e+03,4.616920000000000073e+03,4.202560000000000400e+03,4.232819999999999709e+03,4.209739999999999782e+03,4.281029999999999745e+03,4.628210000000000036e+03,4.389739999999999782e+03,0.000000000000000000e+00
4.319489999999999782e+03,4.001030000000000200e+03,4.280510000000000218e+03,4.151789999999999964e+03,4.343590000000000146e+03,4.584619999999999891e+03,4.089739999999999782e+03,4.615899999999999636e+03,4.212310000000000400e+03,4.226670000000000073e+03,4.201029999999999745e+03,4.269739999999999782e+03,4.625130000000000109e+03,4.378460000000000036e+03,0.000000000000000000e+00
4.325640000000000327e+03,4.006670000000000073e+03,4.278460000000000036e+03,4.143079999999999927e+03,4.344100000000000364e+03,4.583079999999999927e+03,4.087179999999999836e+03,4.614869999999999891e+03,4.205640000000000327e+03,4.230260000000000218e+03,4.195899999999999636e+03,4.266670000000000073e+03,4.622050000000000182e+03,4.380510000000000218e+03,0.000000000000000000e+00
4.326149999999999636e+03,4.010769999999999982e+03,4.276409999999999854e+03,4.139489999999999782e+03,4.345130000000000109e+03,4.584100000000000364e+03,4.091280000000000200e+03,4.608210000000000036e+03,4.187689999999999600e+03,4.229739999999999782e+03,4.202050000000000182e+03,4.273850000000000364e+03,4.627180000000000291e+03,4.389739999999999782e+03,0.000000000000000000e+00
4.326149999999999636e+03,4.011280000000000200e+03,4.276920000000000073e+03,4.142050000000000182e+03,4.344100000000000364e+03,4.582560000000000400e+03,4.092820000000000164e+03,4.608720000000000255e+03,4.194359999999999673e+03,4.228720000000000255e+03,4.212819999999999709e+03,4.277949999999999818e+03,4.637439999999999600e+03,4.393329999999999927e+03,0.000000000000000000e+00
